תאריך,ספק,מספר חשבונית,מטבע,סכום מקורי,שער המרה,"סכום בש""ח",הערות
2026-05-08,Wolt - מאפיית דון לאון,69fd69acf799cbb19063de41,ILS,493.90,1,493.90,
2026-05-10,Wolt - האק רחובות,6a00c9d75c75ed876f8ffa4d,ILS,171.90,1,171.90,
2026-05-10,Wolt - וולט מרקט,6a001a6d68f9dd6fc69f9289,ILS,29.25,1,29.25,
2026-05-10,Wolt - וולט מרקט,6a001cc0dabb1d91c7612051,ILS,19.50,1,19.50,
2026-05-10,Wolt - וולט מרקט,6a003f4dc56433f7e45cd75f,ILS,8.90,1,8.90,
2026-05-10,שני גולן כהן,61604,ILS,480.00,1,480.00,
2026-05-11,Wolt - ביגה סטריט,6a02145875a7de0f8bb360f7,ILS,214.90,1,214.90,
2026-05-11,Wolt - וולט מרקט,6a01a318949e73033fc589cc,ILS,8.90,1,8.90,
2026-05-11,Wolt - וולט מרקט,6a01ddec76b3633768f80616,ILS,88.20,1,88.20,
2026-05-11,Wolt - מאפיית דון לאון,6a019b9aca5abcb4a8c24f0a,ILS,333.90,1,333.90,
2026-05-11,Wolt - פיצה פרגו,6a02156801ddd64929ba8b3c,ILS,39.00,1,39.00,
2026-05-12,Wolt - וולט מרקט,6a02dcb97bcdec6ef6c0c832,ILS,8.90,1,8.90,
2026-05-12,Wolt - וולט מרקט,6a0312f7177030f53ba8c3e6,ILS,19.50,1,19.50,
2026-05-13,Anthropic,2725-0862-6445,USD,20.00,2.9079,58.16,
2026-05-13,Apple (Wabi),734132968875,ILS,13.90,1,13.90,
2026-05-13,Wolt - פאזל בורגר,6a04ae5acfec708fea12d230,ILS,199.90,1,199.90,
2026-05-13,Wolt - שופרסל,6a0488413be1c9c9dc5ba7d4,ILS,318.94,1,318.94,
2026-05-14,Anthropic,2928-7612-1710,USD,45.00,2.9053,130.74,
2026-05-14,Wolt - גוד מורנינג סאנשיין,6a05693820326f9388f24905,ILS,636.90,1,636.90,
2026-05-14,Wolt - וולט מרקט,6a05ac2fc70738ad574d9785,ILS,25.05,1,25.05,
2026-05-14,Wolt - וולט מרקט,6a05b6ed40e77674933b837b,ILS,65.90,1,65.90,
2026-05-14,Wolt - וולט מרקט,6a05d390d96692d2357f24e7,ILS,24.40,1,24.40,
2026-05-14,Wolt - ווק אווי,6a061e0355b121afe102dec7,ILS,223.90,1,223.90,
